times,counts
0.5,53.0
0.5,38.0
0.5,39.0
0.5,30.0
0.5,30.0
0.5,39.0
0.5,44.0
0.5,36.0
0.5,35.0
0.5,45.0
0.5,35.0
0.5,37.0
0.5,36.0
0.5,43.0
0.5,39.0
0.5,36.0
0.5,29.0
0.5,35.0
0.5,42.0
0.5,40.0
0.5,52.0
0.5,46.0
0.5,33.0
0.5,36.0
0.5,36.0
0.5,33.0
0.5,32.0
0.5,31.0
0.5,34.0
0.5,35.0
0.5,45.0
0.5,28.0
0.5,35.0
0.5,47.0
0.5,44.0
0.5,46.0
0.5,56.0
0.5,40.0
0.5,36.0
0.5,55.0
0.5,45.0
0.5,47.0
0.5,25.0
0.5,28.0
0.5,37.0
0.5,36.0
0.5,35.0
0.5,43.0
0.5,43.0
0.5,35.0
0.5,27.0
0.5,42.0
0.5,42.0
0.5,43.0
0.5,36.0
0.5,37.0
0.5,48.0
0.5,40.0
0.5,42.0
0.5,53.0
0.5,38.0
0.5,41.0
0.5,32.0
0.5,38.0
0.5,42.0
0.5,35.0
0.5,40.0
0.5,40.0
0.5,43.0
0.5,31.0
0.5,42.0
0.5,49.0
0.5,41.0
0.5,39.0
0.5,34.0
0.5,38.0
0.5,31.0
0.5,33.0
0.5,35.0
0.5,32.0
0.5,31.0
0.5,42.0
0.5,39.0
0.5,46.0
0.5,33.0
0.5,31.0
0.5,31.0
0.5,41.0
0.5,47.0
0.5,37.0
0.5,37.0
0.5,24.0
0.5,36.0
0.5,39.0
0.5,34.0
0.5,33.0
0.5,59.0
0.5,45.0
0.5,54.0
0.5,30.0
0.5,36.0
0.5,35.0
0.5,46.0
0.5,38.0
0.5,46.0
0.5,37.0
0.5,41.0
0.5,39.0
0.5,43.0
0.5,37.0
0.5,40.0
0.5,42.0
0.5,49.0
0.5,35.0
0.5,31.0
0.5,56.0
0.5,39.0
0.5,42.0
0.5,43.0
0.5,50.0
0.5,38.0
0.5,39.0
0.5,44.0
0.5,41.0
0.5,39.0
0.5,40.0
0.5,41.0
0.5,29.0
0.5,42.0
0.5,37.0
0.5,44.0
0.5,33.0
0.5,43.0
0.5,32.0
0.5,38.0
0.5,33.0
0.5,38.0
0.5,40.0
0.5,32.0
0.5,50.0
0.5,44.0
0.5,32.0
0.5,33.0
0.5,25.0
0.5,30.0
0.5,51.0
0.5,36.0
0.5,37.0
0.5,44.0
0.5,50.0
0.5,33.0
0.5,36.0
0.5,39.0
0.5,39.0
0.5,41.0
0.5,27.0
0.5,35.0
0.5,38.0
0.5,44.0
0.5,39.0
0.5,39.0
0.5,37.0
0.5,29.0
0.5,29.0
0.5,44.0
0.5,38.0
0.5,35.0
0.5,43.0
0.5,37.0
0.5,36.0
0.5,53.0
0.5,42.0
0.5,40.0
0.5,42.0
0.5,35.0
0.5,34.0
0.5,33.0
0.5,34.0
0.5,41.0
0.5,28.0
0.5,42.0
0.5,31.0
0.5,38.0
0.5,36.0
0.5,40.0
0.5,36.0
0.5,35.0
0.5,39.0
0.5,50.0
0.5,51.0
0.5,31.0
0.5,35.0
0.5,43.0
0.5,30.0
0.5,43.0
0.5,34.0
